"asp";"slope";"cur_pl";"cur_pr";"conver";"swi";"prec";"temp";"rad";"ndvi";"dgm";"coord_y";"coord_x";"pawc";"mR";"temp_min";"cloudy";"frost";"veg_p";"cont";"sc";"sc_m";"prec_jja";"drought";"ab_alb"
"46";0,390778;34,8536;0,0145791;0,0303872;2,07459;1,45974;1687;6,9;1210;0,490725;749,39;284523;140633;72,8158;6,23314;-18,1;114;114;210;19,1;91;21;627;3,5;"1"
"47";0,233499;49,3278;-0,0263066;-0,0138326;1,60426;1,2976;1628;7,4;1254;0,53719;628,38;284358;139688;39,8956;7,08701;-17,5;111;111;217;19,5;79;18;608;3,5;"1"
"48";1,08008;41,3016;-0,0524599;0,0694386;1,22505;1,14918;1571;7,7;1122;0,546695;598,35;284218;139798;23,2929;6,62324;-17,7;114;112;214;19,4;84;19;616;3,5;"1"
"49";1,35124;34,9375;0,00986613;0,00452091;1,09232;1,40093;1980;4,9;1235;0,484685;1164,9;284228;152393;108,954;5,81538;-19,5;114;132;180;18,3;128;30;689;3,4;"1"
"50";0,177764;29,5599;-0,0145485;-0,0185626;2,1348;1,68166;1916;5,4;1089;0,557351;1041,66;284283;150593;107,011;6,32966;-19,4;104;130;184;18,5;123;29;686;3,4;"1"
"51";1,80564;29,2666;-0,440227;-0,0218525;-20,4157;1,66725;1991;5,1;1039;0,636183;1234,03;284253;150113;134,107;5,82634;-18,3;149;140;167;16,7;135;31;740;3,4;"1"
"52";1,60504;26,1979;0,0251793;0,0208766;-1,29987;1,43593;1907;5,2;1174;0,386111;1113,6;284148;152458;109,555;5,72294;-19,5;118;132;180;18,3;128;30;689;3,4;"1"
"53";0,577147;30,0535;-0,163956;-0,0201588;-29,3417;1,87008;1716;6,4;1145;0,499182;704,45;284193;157028;143,158;6,81291;-19,9;116;123;205;19,9;107;24;600;3,5;"1"
"54";0,0311182;27,3424;0,0841772;0,0503854;41,9844;0,844137;1716;6,3;1145;0,550787;727,71;284168;157128;126,181;6,11992;-19,9;116;123;205;19,9;107;24;600;3,5;"1"
"55";0,00117821;29,2943;-0,0605125;-0,00142561;-6,33811;1,02707;1716;6,3;1145;0,540059;721,14;284153;157128;134,784;6,22119;-19,9;116;123;205;19,9;107;24;600;3,5;"1"
"56";1,88439;31,4685;-0,056708;-0,056801;-6,4933;1,82346;1879;5,2;1193;0,0320856;1165,09;284178;146558;73,6309;6,01767;-18,8;115;135;171;17,6;127;30;677;3,4;"1"
"57";0,902337;32,9422;0,0621565;0,0314875;0,737193;1,22878;1879;5,1;1193;0,624506;1176,13;284213;146578;118,413;5,14858;-18,8;115;135;171;17,6;127;30;677;3,4;"1"
"58";1,33781;30,6415;0,069854;-0,0055775;16,6744;1,26909;1716;6,5;1145;0,538144;697,38;284103;156948;133,244;5,41673;-19,9;124;123;205;19,9;107;24;600;3,5;"1"
"59";1,9839;26,7715;-0,117488;-0,0436818;1,12428;1,62309;1701;6,4;1175;0,513402;695,42;284093;156908;132,934;6,04221;-19,9;124;123;205;19,9;107;24;600;3,5;"1"
"60";1,8659;33,0907;0,145224;0,0165044;14,1514;0,887596;1701;6,4;1175;0,406504;703,74;284088;156893;134,782;5,9101;-19,9;124;123;205;19,9;107;24;600;3,5;"1"
"61";0,642261;29,0488;-0,0463193;0,00798554;-7,28835;1,59055;1701;6,4;1175;0,383529;714,51;284068;156873;139,838;6,04814;-19,9;124;123;205;19,9;107;24;600;3,5;"1"
"62";1,14023;33,6477;-0,139286;0,00240564;-18,0905;1,13297;1716;6,4;1204;0,37428;709,72;284063;157203;136,798;5,96824;-19,9;142;123;205;19,9;107;24;600;3,5;"1"
"63";1,44031;22,3092;0,746667;0,106831;46,3392;0,828389;1716;6,4;1145;0,399351;717,96;284063;157083;96,8493;5,19306;-19,9;142;123;205;19,9;107;24;600;3,5;"1"
"64";0,994734;36,462;-0,0627131;-0,0234601;-18,9862;1,46429;1700;6,3;1094;0,548485;726,83;284108;154433;142,671;6,15836;-19,5;113;122;206;19,8;103;23;590;3,5;"1"
"65";1,54978;19,2487;0,0155883;-0,00526676;3,93936;1,33569;1700;6,6;1094;0,572238;676,93;284128;154528;145,863;5,86998;-19,5;111;122;206;19,8;103;23;590;3,5;"1"
"66";0,0190783;32,3302;0,189463;0,0317224;27,4286;0,928637;1980;5,2;1235;0,496318;1106,27;284048;152308;43,809;6,16208;-19,5;118;132;180;18,3;128;30;689;3,4;"1"
"67";1,54396;16,9867;-0,123635;-0,049369;15,6769;2,01572;1701;6,3;1175;0,535678;727,56;284033;156873;126,257;5,92253;-19,9;124;123;205;19,9;107;24;600;3,5;"1"
"68";1,6;29,6495;-0,0587293;-0,083365;-6,57958;1,94388;1701;6,3;1175;0,603738;722,75;284038;156908;112,364;6,16895;-19,9;124;123;205;19,9;107;24;600;3,5;"1"
